Concepto ,"""Definicion"""
Lación social ,"""gran apoyo en la for- mación de psicólogos que actualmente tienen que enfrentar  gran variedad de problemas en el contexto del neoliberalis- mo."""
Movimiento ,"""sistema co- herente con principios que acepten todos sus seguidores."""
Psicología humanista ,"""enfoque formado por  un conjunto de diversos psicólogos y filósofos, que compar- ten puntos de vista."""
Ejemplo ,"""ejemplo de la historia de casos o el estudio de ca- sos, método mediante el cual se reúne información extensa  sobre una persona o unas pocas personas."""
Perspectiva lineal paradigma simplificador ,"""unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Cambio desde ,"""complemento que par- ticipa en la recreación del todo, la estructura y dinámica  del todo está determinada por su capacidad de auto-orga- nización."""
Segundo ,"""realidad que coopera en la comprensión y organización del todo."""
Ámbito ,"""metáfora que ayuda a comprender el origen, la organización y el desarrollo del sentido de vida del sujeto."""
Problema expuesto ,"""problema paradigmático,  no de paradigma científico, sino de paradigma social o con- cepción de mundo con el que se comprende y ordena la reali- dad, la vida y actividad humana, como también los objetivos  y procedimientos de la actividad científica."""
Psicología ,"""ciencia simplificadora."""
Máquinas computadoras estructuras ,"""metáfora potencial para redefinir la misión de la ciencia psicológica."""
Sujeto psicológico ,"""máquina, un ordenador, una estructura formal, un sistema de relacio- nes, un animal inferior (ratones o palomas)."""
Axón ,"""tubo largo y delgado, lleva la informa- ción desde el cuerpo celular hasta los botones terminales."""
Intenta ,"""sopa fría de pollo o que tomas una pepsi caliente y te darás cuenta de cuán importante es la temperatura para el sentido del gusto."""
Tema de emergencia ,"""sis- tema de emergencia que reclama acción inmediata."""
Modelo ,"""automóvil, observamos determi- nadas características (la forma de las defensas, la proporción  entre altura y longitud, etcétera)."""
Semejanza ,"""proceso evaluativo."""
Biografía histórica ,"""biografía histórica para preparar un examen escolar seguramente harás lo mismo."""
Cometes ,"""error al marcar, lo más probable es que tengas  que volver a consultar el número:."""
Unidad ,"""repre- sentación mental de un hecho u objeto."""
Representación ,"""copia exacta; por el contrario, con- tiene tan sólo los aspectos sobresalientes del original."""
Símbolo ,"""símbolo que representa algo."""
Lenguaje ,"""forma de comunicación intencional de flexibilidad casi infinita, determinada por reglas que defi- nen su significado en tres aspectos centrales:."""
Puesto ,"""logro de mayor complejidad."""
Relación entre lenguaje miento ,"""relación compleja, ya que el desarrollo del lenguaje tiene como base la adquisición de la capacidad simbólica y de representación de la realidad propia del pensamiento y, al mismo tiempo, va a ayudar a representar el pensamiento."""
Amigos ,"""señal de que quizá no se siente tan cómodo con ellos como los amigos a los que invita a sentarse con usted en la mesa de la cocina."""
Conducta ,"""señal infalible."""
Ekman ,"""iversales:."""
Herente ,"""etapa por superar en el futuro cercano, o si, por el contrario, es algo que brinda riqueza y variedad al campo de conocimientos que denomina- mos psicología."""
Perspectiva de kuhn 1970 ,"""ciencia preparadigmática, multiparadigmática o en proceso de lograr un paradigma uni- ficador que la convierta en una ciencia “normal”."""
Punto de vista ,"""sola disciplina coherente, sino una serie de estudios de naturaleza variada, algunos de ellos dentro del contexto de la ciencia y otros no."""
Tamiento ,"""propiedad relacional, se estudia como un conjunto de procesos, no de cosas."""
Busca ,"""iver- sales y, al mismo tiempo, reconoce sus limitaciones y sus im- precisiones."""
Contexto de búsqueda de leyes universales válidas confiables ,"""iversales, válidas  y confiables, con los límites propios de la cultura, de la histo- ria y de las capacidades cognitivas del ser humano, los fenó-    |  PS1COLOGÍA 1 menos psicológicos se han podido explicar ""en forma relativa,  pero válida y confiable"" con ayuda del método de las ciencias."""
Ciencia ,"""empresa con propósitos y objetivos."""
Análisis científico ,"""instrumento adecuado para estudiar el repertorio  verbal descriptivo de cualquier hablante que se refiera a sus  fenómenos mentales."""
Psicología unificada ,"""psi- cología ecléctica; tampoco que se pueda identificar con una de las “escuelas” o “sistemas”."""
Nueva escuela psicológica ,"""nueva escuela psicológica, sino un programa de investigación para superar la fragmentación de las escuelas y la desunión de la psicología, respetando su diversidad de áreas de investigación, campos de aplica- ción, niveles de análisis y pluralidad de metodologías."""
Discusiones sobre ,"""iversales o de los determi- nantes contextuales, fueron asuntos centrales en la frag- mentación de la psicología."""
Definiciones unívocas ,"""ívocas  de los fenómenos y procesos psicológicos."""
Psicología unificada ,"""psico- logía sin polémicas internas."""
Conjunto de creencias expectativas ,"""conjunto de creencias o expectativas acerca  de algo (en este caso la gente o bien puede ser una situación  específica), basadas en la experiencia previa y que se aplican  a todos los miembros de esa categoría (Fiske y Taylor, 1991,  citado en Morris y Maisto, 2005)."""
Partir ,"""profesional altamente capacitada, y conocedora acerca de las enfermedades y sus curas, que está calificada para recetar medicamentos, etcétera."""
Persona ,"""deportista (escritor, músico, etc."""
Relación psicología filosofía existencial ,"""movimiento filosófico que introduce una  dimensión fundamental para la comprensión de la naturaleza hu- mana."""
Hombre ,"""ente que se pregunta por el ser en general, por qué el ser y no más     |  PS1COLOGÍA 1 bien la nada es según Gottfried Leibniz la pregunta fundamental de  la metafísica."""
Hombre ,"""ente que se pregunta por su ser,  ¿quién soy?"""
Consciencia de finitud ,"""ser- para la-muerte, es consciencia de finitud, sabe que habrá de morir."""
Hiedegger ,"""“ante la vista”."""
Consecuencia ,"""respuesta que nos indique qué interpretación, de las muchas posibles, debemos dar a la muerte."""
Autor ,"""de los más difíciles de comprender debi- do a la forma de redactar que lo caracteriza, pero sintetiza ade- cuadamente fibra más esencial del pensamiento existencialista, que como ya se expresó, presenta una marcada gravitación en la Psicología, pues los interrogantes ontológicos se encuentran inseparablemente unidos a la pregunta por el sentido de la vida; Rabindranath Tagore, poeta indio y premio Nobel de Literatura, escribió:."""
Sísifo ,"""héroe griego que desobedece a los dioses, siendo  condenado por éstos a una pena terriblemente odiosa:."""
Relación psicología neurofisiología ,"""tér- mino compuesto por tres vocablos:."""
Relación psicología medicina ,"""aplicación tecnológica de la biología y conser- va una relación privilegiada con la modalidad asistencial propia de la Psicología clínica."""
Norma ,"""refor- zador de la conducta."""
Delitos ,"""atenuante del homicidio y la premeditación o  la alevosía son agravantes que endurecen la pena."""
Relación entre psicología deporte ,"""actividad que puede estudiarse tanto como práctica individual o de equipo (por ejemplo, resistencia, preci- sión, concentración, coordinación cuando son varios jugadores, etc."""
Ejemplo ,"""cuestión empíri- ca, pues quizá produzca un resultado contrario a lo que se busca, pero ilustra las contribuciones de nuestra disciplina al tema)."""
Falsa ,"""analfabeto en el presen- te siglo:."""
Matemáticas ,"""forma de expresar relaciones entre eventos materiales o inmateriales."""
Inconsciente descubierto freud ,"""inconsciente  dinámico, es decir, sus impulsos ejercen una presión constante  por salir al campo de la conciencia y de la acción, se encuen- tra en una lucha permanente contra la censura; gran parte de  nuestras acciones son consecuencia y efecto de esos deseos  reprimidos; Freud en sus estudios estableció el principio de  que el sueño es la realización enmascarada de los deseos e im- pulsos reprimidos."""
Perspectiva lineal paradigma simplificador ,"""unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Intenta ,"""sopa fría de pollo o que tomas una pepsi caliente y te darás cuenta de cuán importante es la temperatura para el sentido del gusto."""
Unidad ,"""repre- sentación mental de un hecho u objeto."""
Lenguaje ,"""forma de comunicación intencional de flexibilidad casi infinita, determinada por reglas que defi- nen su significado en tres aspectos centrales:."""
Matemáticas ,"""forma de expresar relaciones entre eventos materiales o inmateriales."""
Herente ,"""etapa por superar en el futuro cercano, o si, por el contrario, es algo que brinda riqueza y variedad al campo de conocimientos que denomina- mos psicología."""
Autor ,"""de los más difíciles de comprender debi- do a la forma de redactar que lo caracteriza, pero sintetiza ade- cuadamente fibra más esencial del pensamiento existencialista, que como ya se expresó, presenta una marcada gravitación en la Psicología, pues los interrogantes ontológicos se encuentran inseparablemente unidos a la pregunta por el sentido de la vida; Rabindranath Tagore, poeta indio y premio Nobel de Literatura, escribió:."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema, pero esta no tiene una jerarquía definida."""
Psicología ,"""ciencia fáctica o empírica, que participa de tres mundos:."""
Tesis mental ,"""tesis funda- mental para el pensamiento cartesiano."""
Cuarto ,"""experiencia inmediata, no está ""mediada""."""
Forma ,"""forma específicamente humana de los fenó- menos psicológicos y que la comprensión de ella exige el re- conocimiento de su carácter histórico y social."""
Freud ,"""búsqueda del placer (libido), se transfiere a diversas zonas erógenas, que son áreas sensoriales de placer sensual y erótico del cuerpo."""
Jung ,"""prueba del progreso de la civilización."""
Perspectiva lineal paradigma simplificador ,"""unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Segundo ,"""realidad que coopera en la comprensión y organización del todo."""
Ámbito ,"""metáfora que ayuda a comprender el origen, la organización y el desarrollo del sentido de vida del sujeto."""
Psicología ,"""ciencia simplificadora."""
Máquinas computadoras estructuras ,"""metáfora potencial para redefinir la misión de la ciencia psicológica."""
Sujeto psicológico ,"""máquina, un ordenador, una estructura formal, un sistema de relacio- nes, un animal inferior (ratones o palomas)."""
Intenta ,"""sopa fría de pollo o que tomas una pepsi caliente y te darás cuenta de cuán importante es la temperatura para el sentido del gusto."""
Biografía histórica ,"""biografía histórica para preparar un examen escolar seguramente harás lo mismo."""
Unidad ,"""repre- sentación mental de un hecho u objeto."""
Representación ,"""copia exacta; por el contrario, con- tiene tan sólo los aspectos sobresalientes del original."""
Lenguaje ,"""forma de comunicación intencional de flexibilidad casi infinita, determinada por reglas que defi- nen su significado en tres aspectos centrales:."""
Relación entre lenguaje miento ,"""relación compleja, ya que el desarrollo del lenguaje tiene como base la adquisición de la capacidad simbólica y de representación de la realidad propia del pensamiento y, al mismo tiempo, va a ayudar a representar el pensamiento."""
Amigos ,"""señal de que quizá no se siente tan cómodo con ellos como los amigos a los que invita a sentarse con usted en la mesa de la cocina."""
Conducta ,"""señal infalible."""
Herente ,"""etapa por superar en el futuro cercano, o si, por el contrario, es algo que brinda riqueza y variedad al campo de conocimientos que denomina- mos psicología."""
Perspectiva de kuhn 1970 ,"""ciencia preparadigmática, multiparadigmática o en proceso de lograr un paradigma uni- ficador que la convierta en una ciencia “normal”."""
Punto de vista ,"""sola disciplina coherente, sino una serie de estudios de naturaleza variada, algunos de ellos dentro del contexto de la ciencia y otros no."""
Tamiento ,"""propiedad relacional, se estudia como un conjunto de procesos, no de cosas."""
Ciencia ,"""empresa con propósitos y objetivos."""
Psicología unificada ,"""psi- cología ecléctica; tampoco que se pueda identificar con una de las “escuelas” o “sistemas”."""
Nueva escuela psicológica ,"""nueva escuela psicológica, sino un programa de investigación para superar la fragmentación de las escuelas y la desunión de la psicología, respetando su diversidad de áreas de investigación, campos de aplica- ción, niveles de análisis y pluralidad de metodologías."""
Psicología unificada ,"""psico- logía sin polémicas internas."""
Partir ,"""profesional altamente capacitada, y conocedora acerca de las enfermedades y sus curas, que está calificada para recetar medicamentos, etcétera."""
Consecuencia ,"""respuesta que nos indique qué interpretación, de las muchas posibles, debemos dar a la muerte."""
Relación psicología medicina ,"""aplicación tecnológica de la biología y conser- va una relación privilegiada con la modalidad asistencial propia de la Psicología clínica."""
Relación entre psicología deporte ,"""actividad que puede estudiarse tanto como práctica individual o de equipo (por ejemplo, resistencia, preci- sión, concentración, coordinación cuando son varios jugadores, etc."""
Ejemplo ,"""cuestión empíri- ca, pues quizá produzca un resultado contrario a lo que se busca, pero ilustra las contribuciones de nuestra disciplina al tema)."""
Matemáticas ,"""forma de expresar relaciones entre eventos materiales o inmateriales."""
Máquinas computadoras estructuras ,"""metáfora potencial para redefinir la misión de la ciencia psicológica."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema, pero esta no tiene una jerarquía definida."""
Sugerencias de actividades de aprendizaje realizar ,"""análisis pro- fundo que hace cada individuo acerca del texto leído, con la  finalidad de llegar a conclusiones impregnando sus conoci- mientos e historia personal."""
Sugerencias de actividades de aprendizaje ,"""estructuración categórica de in- formación, que permite una comprensión gráfica del tema, pero esta no tiene una jerarquía definida."""
Sócrates por ejemplo ,"""y los propios límites:."""
Importante ,"""hecho naturalmente dado,  sino que uno mismo lo construye y delimita."""
Psicología ,"""ciencia fáctica o empírica, que participa de tres mundos:."""
Tesis mental ,"""tesis funda- mental para el pensamiento cartesiano."""
Parte john locke ,"""de los iniciadores de la tradición empirista británica."""
Locke ,"""paso preciso y  necesario para limpiar el camino antes de sentar los funda- mentos del conocimiento."""
Cuestión ,"""pesador materialista y mecanicista."""
Autor ,"""fisiólogo y,  como tal, estudia pormenorizadamente los órganos sensoria- les y el sistema nervioso en general."""
Pierre flourens ,"""estudioso de la fisiología cerebral, en sus es- critos se apoya en el pensamiento de Descartes y establecer  la fisiología científica del cerebro."""
Cuarto ,"""experiencia inmediata, no está ""mediada""."""
Forma ,"""forma específicamente humana de los fenó- menos psicológicos y que la comprensión de ella exige el re- conocimiento de su carácter histórico y social."""
Proceso ,"""proceso específicamente humano que permite  controlar y regular la conducta."""
Conciencia determinada ,"""objeto sino un proceso y, por tanto, debe recurrir  a los métodos del materialismo dialéctico."""
Inconsciente descubierto freud ,"""inconsciente  dinámico, es decir, sus impulsos ejercen una presión constante  por salir al campo de la conciencia y de la acción, se encuen- tra en una lucha permanente contra la censura; gran parte de  nuestras acciones son consecuencia y efecto de esos deseos  reprimidos; Freud en sus estudios estableció el principio de  que el sueño es la realización enmascarada de los deseos e im- pulsos reprimidos."""
Freud ,"""búsqueda del placer (libido), se transfiere a diversas zonas erógenas, que son áreas sensoriales de placer sensual y erótico del cuerpo."""
Jung ,"""prueba del progreso de la civilización."""
Lación social ,"""gran apoyo en la for- mación de psicólogos que actualmente tienen que enfrentar  gran variedad de problemas en el contexto del neoliberalis- mo."""
Movimiento ,"""sistema co- herente con principios que acepten todos sus seguidores."""
Psicología humanista ,"""enfoque formado por  un conjunto de diversos psicólogos y filósofos, que compar- ten puntos de vista."""
Ejemplo ,"""ejemplo de la historia de casos o el estudio de ca- sos, método mediante el cual se reúne información extensa  sobre una persona o unas pocas personas."""
Perspectiva lineal paradigma simplificador ,"""unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Cambio desde ,"""complemento que par- ticipa en la recreación del todo, la estructura y dinámica  del todo está determinada por su capacidad de auto-orga- nización."""
Segundo ,"""realidad que coopera en la comprensión y organización del todo."""
Ámbito ,"""metáfora que ayuda a comprender el origen, la organización y el desarrollo del sentido de vida del sujeto."""
Problema expuesto ,"""problema paradigmático,  no de paradigma científico, sino de paradigma social o con- cepción de mundo con el que se comprende y ordena la reali- dad, la vida y actividad humana, como también los objetivos  y procedimientos de la actividad científica."""
Psicología ,"""ciencia simplificadora."""
Máquinas computadoras estructuras ,"""metáfora potencial para redefinir la misión de la ciencia psicológica."""
Sujeto psicológico ,"""máquina, un ordenador, una estructura formal, un sistema de relacio- nes, un animal inferior (ratones o palomas)."""
Axón ,"""tubo largo y delgado, lleva la informa- ción desde el cuerpo celular hasta los botones terminales."""
Intenta ,"""sopa fría de pollo o que tomas una pepsi caliente y te darás cuenta de cuán importante es la temperatura para el sentido del gusto."""
Tema de emergencia ,"""sis- tema de emergencia que reclama acción inmediata."""
Modelo ,"""automóvil, observamos determi- nadas características (la forma de las defensas, la proporción  entre altura y longitud, etcétera)."""
Semejanza ,"""proceso evaluativo."""
Biografía histórica ,"""biografía histórica para preparar un examen escolar seguramente harás lo mismo."""
Cometes ,"""error al marcar, lo más probable es que tengas  que volver a consultar el número:."""
Unidad ,"""repre- sentación mental de un hecho u objeto."""
Representación ,"""copia exacta; por el contrario, con- tiene tan sólo los aspectos sobresalientes del original."""
Símbolo ,"""símbolo que representa algo."""
Lenguaje ,"""forma de comunicación intencional de flexibilidad casi infinita, determinada por reglas que defi- nen su significado en tres aspectos centrales:."""
Puesto ,"""logro de mayor complejidad."""
Relación entre lenguaje miento ,"""relación compleja, ya que el desarrollo del lenguaje tiene como base la adquisición de la capacidad simbólica y de representación de la realidad propia del pensamiento y, al mismo tiempo, va a ayudar a representar el pensamiento."""
Amigos ,"""señal de que quizá no se siente tan cómodo con ellos como los amigos a los que invita a sentarse con usted en la mesa de la cocina."""
Conducta ,"""señal infalible."""
Ekman ,"""iversales:."""
Herente ,"""etapa por superar en el futuro cercano, o si, por el contrario, es algo que brinda riqueza y variedad al campo de conocimientos que denomina- mos psicología."""
Perspectiva de kuhn 1970 ,"""ciencia preparadigmática, multiparadigmática o en proceso de lograr un paradigma uni- ficador que la convierta en una ciencia “normal”."""
Punto de vista ,"""sola disciplina coherente, sino una serie de estudios de naturaleza variada, algunos de ellos dentro del contexto de la ciencia y otros no."""
Tamiento ,"""propiedad relacional, se estudia como un conjunto de procesos, no de cosas."""
Busca ,"""iver- sales y, al mismo tiempo, reconoce sus limitaciones y sus im- precisiones."""
Contexto de búsqueda de leyes universales válidas confiables ,"""iversales, válidas  y confiables, con los límites propios de la cultura, de la histo- ria y de las capacidades cognitivas del ser humano, los fenó-    |  PS1COLOGÍA 1 menos psicológicos se han podido explicar ""en forma relativa,  pero válida y confiable"" con ayuda del método de las ciencias."""
Ciencia ,"""empresa con propósitos y objetivos."""
Análisis científico ,"""instrumento adecuado para estudiar el repertorio  verbal descriptivo de cualquier hablante que se refiera a sus  fenómenos mentales."""
Psicología unificada ,"""psi- cología ecléctica; tampoco que se pueda identificar con una de las “escuelas” o “sistemas”."""
Nueva escuela psicológica ,"""nueva escuela psicológica, sino un programa de investigación para superar la fragmentación de las escuelas y la desunión de la psicología, respetando su diversidad de áreas de investigación, campos de aplica- ción, niveles de análisis y pluralidad de metodologías."""
Discusiones sobre ,"""iversales o de los determi- nantes contextuales, fueron asuntos centrales en la frag- mentación de la psicología."""
Definiciones unívocas ,"""ívocas  de los fenómenos y procesos psicológicos."""
Psicología unificada ,"""psico- logía sin polémicas internas."""
Conjunto de creencias expectativas ,"""conjunto de creencias o expectativas acerca  de algo (en este caso la gente o bien puede ser una situación  específica), basadas en la experiencia previa y que se aplican  a todos los miembros de esa categoría (Fiske y Taylor, 1991,  citado en Morris y Maisto, 2005)."""
Partir ,"""profesional altamente capacitada, y conocedora acerca de las enfermedades y sus curas, que está calificada para recetar medicamentos, etcétera."""
Persona ,"""deportista (escritor, músico, etc."""
Relación psicología filosofía existencial ,"""movimiento filosófico que introduce una  dimensión fundamental para la comprensión de la naturaleza hu- mana."""
Hombre ,"""ente que se pregunta por el ser en general, por qué el ser y no más     |  PS1COLOGÍA 1 bien la nada es según Gottfried Leibniz la pregunta fundamental de  la metafísica."""
Hombre ,"""ente que se pregunta por su ser,  ¿quién soy?"""
Consciencia de finitud ,"""ser- para la-muerte, es consciencia de finitud, sabe que habrá de morir."""
Hiedegger ,"""“ante la vista”."""
Consecuencia ,"""respuesta que nos indique qué interpretación, de las muchas posibles, debemos dar a la muerte."""
Autor ,"""de los más difíciles de comprender debi- do a la forma de redactar que lo caracteriza, pero sintetiza ade- cuadamente fibra más esencial del pensamiento existencialista, que como ya se expresó, presenta una marcada gravitación en la Psicología, pues los interrogantes ontológicos se encuentran inseparablemente unidos a la pregunta por el sentido de la vida; Rabindranath Tagore, poeta indio y premio Nobel de Literatura, escribió:."""
Sísifo ,"""héroe griego que desobedece a los dioses, siendo  condenado por éstos a una pena terriblemente odiosa:."""
Relación psicología neurofisiología ,"""tér- mino compuesto por tres vocablos:."""
Relación psicología medicina ,"""aplicación tecnológica de la biología y conser- va una relación privilegiada con la modalidad asistencial propia de la Psicología clínica."""
Norma ,"""refor- zador de la conducta."""
Delitos ,"""atenuante del homicidio y la premeditación o  la alevosía son agravantes que endurecen la pena."""
Relación entre psicología deporte ,"""actividad que puede estudiarse tanto como práctica individual o de equipo (por ejemplo, resistencia, preci- sión, concentración, coordinación cuando son varios jugadores, etc."""
Ejemplo ,"""cuestión empíri- ca, pues quizá produzca un resultado contrario a lo que se busca, pero ilustra las contribuciones de nuestra disciplina al tema)."""
Falsa ,"""analfabeto en el presen- te siglo:."""
Matemáticas ,"""forma de expresar relaciones entre eventos materiales o inmateriales."""
Inconsciente descubierto freud ,"""realización enmascarada de los deseos e im- pulsos reprimidos."""
Perspectiva lineal paradigma simplificador ,"""suma de las  partes, la parte es una unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Intenta ,"""temperatura para  el sentido del gusto."""
Unidad ,"""imagen, es una repre- sentación mental de un hecho u objeto."""
Línea del tiempo ,"""representación gráfica de perio- dos cortos, medianos o largos (años, lustros, décadas, siglos,  milenios)."""
Importancia del trabajo ,"""importancia del trabajo que realizan los(as)  psicólogos(as)?"""
Esquema ,"""representación simplificada de una rea- lidad compleja."""
Creador ,"""estructura de la mente."""
Ejemplo ,"""personas mejoran o eliminan sus molestias no por el tratamiento mismo, sino porque confían en el profesional y se sienten más acompañadas."""
Ejemplo de disciplinas ,"""mayor parte de los temas que se analizan  escapan a tal posibilidad, si bien ello no significa que argu- menten en el vacío, pues utilizan evidencias documentales  para defender sus puntos de vista o teorías."""
Principal razón ,"""principal razón por la cual las ciencias  presentan el mayor desarrollo teórico y tecnológico."""
Mayor parte ,"""historia de las  ideas psicológicas y la historia de la psicología."""
Posesión ,"""dife- rencia básica entre los hombres y los animales."""
Cuerpo humano ,"""excepción."""
Imaginación ,"""que conduce  la creación científica y sus diversas formas nos conducen de  nuevo al terreno de las sensaciones."""
Vibraciones pequeñas ,"""vibraciones pequeñas que son responsables por las sensaciones y sus rastros que dan lugar a las imágenes."""
Extensión ,"""Ley de Weber que señala que para casa sentido existe una  relación constante entre el aumento o disminución (ae)  de la intensidad del estímulo requerido para que un sujeto  perciba una diferencia en su sensación de la intensidad del  estímulo del que se parte."""
Partir ,"""magnitud del estímulo."""
Estímulos ,"""que gobierna  la conducta."""
Mera teoría ,"""pri- mera teoría que viene a influenciar fuertemente la forma en  cómo se entiende el aprendizaje humano."""
Inconsciente descubierto freud ,"""realización enmascarada de los deseos e im- pulsos reprimidos."""
Sexuales ,"""fuer- za por la que el instinto sexual es representado en la mente  en la búsqueda del placer."""
Parte del aparato psíquico ,"""parte del aparato psíquico que reconoce la  propia persona el ¿Quién soy?"""
Función reguladora ,"""instancia que alberga las pulsiones instinti- vas regidas por el principio de placer y que aflora en forma  directa en las manifestaciones antisociales."""
Voz ,"""voz de la conciencia moral, producto de  la internalización de las normas y valores transmitidos por  la familia."""
Teoría social ,"""subjetividad, el sujeto y  el lazo social, ubicándolos en mejores condiciones de com- prender e intervenir desde una metodología cualitativa en  distintos escenarios."""
Planteamientos ,"""metodología empleada para su objeto de es- tudio; se concentra en el estudio de los fenómenos tal como  lo experimenta el individuo, con el acento en la manera  exacta en que un fenómeno se revela en sí a la persona que lo  está experimentando en toda su especificidad y concreción."""
Causa ,"""causa de la agresividad”,  mientras que éste se pregunte:."""
Veces ,"""mera presencia de un  observador puede influir en el comportamiento de las per- sonas que se estudian."""
Perspectiva lineal paradigma simplificador ,"""suma de las  partes, la parte es una unidad disgregable del todo, la es- tructura y dinámica del elemento determina la organiza- ción y desarrollo del todo."""
Problema objetivos de investigación uno ,"""pre- sencia de una concepción incongruente sobre el sujeto, de  los procesos psicológicos y del comportamiento humano."""
Irracionalidad ,"""irracionalidad que  hay que asumir para hacer terapia."""
Forma ,"""metáfora para  comprender el origen, el desarrollo, las funciones y el  sentido de la personalidad del sujeto."""
Escenario de estudio ,"""caja de Skinner, los laboratorios, los am- bientes formales (aulas o consultorios)."""
Unidad de observación análisis ,"""organización y desarrollo de la subjetividad  individual (personalidad) o colectivo (cultura) y el modo  en que obra (cuida) la comunidad en el que vive mediante  sus desplazamientos y creaciones culturales."""
Soma cuerpo celular ,"""mayor par- te de la maquinaria que mantiene los procesos vitales de la   PS1COLOGÍA 1  |   célula."""
Axón ,"""porción “emisora de men- sajes” de la célula; por lo general, los axones llevan infor- mación que sale de la neurona hacia las neuronas vecinas y  los efectores."""
Es decir ,"""in- formación que nuestros sentidos captan del medio que nos  rodea, la cual se presenta por medio de los receptores sen- soriales, los cuales llevan la información al cerebro donde  es almacenada e interpretada de acuerdo a las características  particulares del sujeto."""
Duda habrás ,"""nariz constipada por un resfriado, generalmente  los alimentos no tienen sabor."""
Intenta ,"""temperatura para  el sentido del gusto."""
Entrada ,"""información que recibimos por medio de  los sentidos."""
Rara ,"""palabras en voz alta."""
Solución ,"""organización."""
Procesar ,"""más complejas computadoras parecen juego de niños."""
Unidad ,"""imagen, es una repre- sentación mental de un hecho u objeto."""
Orientada contexto ,"""que informa sobre hechos, realidades y  relaciones."""
Recuerde ,"""personas con lesiones graves en la médula espinal tendrían que experimentar menos emociones y menos in- tensas, lo cual no es así (Cobos, Sánchez, Pérez y Vila, 2004)."""
Tema al ,"""forma exacta en que los componentes innatos y apren- didos de la expresión emocional se comunican y reconocen."""
Comunicación ,"""señal más evidente de la emoción?"""
Reportes verbales ocasiones ,"""gente “dice” de manera no  verbal cosas que no quería decir."""
Psicólogos ,"""forma en que la cultura contribuye a  moldear las experiencias emocionales."""
Fragmentación ,"""psicología,  qué metodología(s) utilizar para estudiarla y cómo evaluar  los hallazgos de este campo de conocimiento."""
Método científico ,"""forma más adecuada que po- seemos para entender el mundo y modificarlo, incluyendo el  mundo de los seres humanos y de las sociedades."""
Hombre ,"""medida de todas las  cosas”, como señalaron los griegos hace más de 2000 años."""
Amplias comunalidades ,"""comparten los psicólogos de nuestros días."""
Ser humano ye realidades sociales través ,"""realidad,  es claro que todas esas interpretaciones implican procesos  cognitivos, pero también son procesos que compartimos   PS1COLOGÍA 1  |   con “otros” que queramos o no forman parte de nuestra  realidad social, en donde entran en juego una gama de fenó- menos intersubjetivos y de subjetividades sociales."""
Persona indicada ,"""persona indicada para mí?"""
Influencia ,"""dependencia o confianza en un líder; el cual, con sus  decisiones, solucionará problemas o logrará los objetivos efi- cazmente."""
